Difference from HDI value (%) (1990),Difference from HDI value (%) (1991),Difference from HDI value (%) (1992),Difference from HDI value (%) (1993),Difference from HDI value (%) (1994),Difference from HDI value (%) (1995),Difference from HDI value (%) (1996),Difference from HDI value (%) (1997),Difference from HDI value (%) (1998),Difference from HDI value (%) (1999),Difference from HDI value (%) (2000),Difference from HDI value (%) (2001),Difference from HDI value (%) (2002),Difference from HDI value (%) (2003),Difference from HDI value (%) (2004),Difference from HDI value (%) (2005),Difference from HDI value (%) (2006),Difference from HDI value (%) (2007),Difference from HDI value (%) (2008),Difference from HDI value (%) (2009),Difference from HDI value (%) (2010),Difference from HDI value (%) (2011),Difference from HDI value (%) (2012),Difference from HDI value (%) (2013),Difference from HDI value (%) (2014),Difference from HDI value (%) (2015),Difference from HDI value (%) (2016),Difference from HDI value (%) (2017),Difference from HDI value (%) (2018),Difference from HDI value (%) (2019),Difference from HDI value (%) (2020),Difference from HDI value (%) (2021)
1.10619469,0.890868597,1.121076233,0.911161731,0.688073394,0.689655172,0.921658986,0.91954023,0.917431193,0.915331808,0.904977376,0.869565217,0.867678959,0.854700855,0.843881857,0.842105263,0.838574423,1.022494888,1.006036217,0.988142292,0.974658869,0.959692898,0.938086304,0.922509225,1.08892922,1.071428571,1.063829787,1.050788091,1.213171577,1.200686106,1.211072664,1.215277778
1.554404145,1.302083333,1.315789474,1.333333333,1.347708895,1.072386059,1.075268817,1.069518717,1.078167116,1.086956522,1.063829787,1.069518717,1.058201058,1.041666667,1.025641026,1.265822785,1.246882793,0.985221675,1.201923077,1.187648456,0.932400932,0.913242009,1.363636364,1.34529148,1.318681319,1.295896328,1.271186441,1.052631579,1.25,1.244813278,1.252609603,1.252609603
3.256704981,2.89017341,3.281853282,3.3203125,3.353057199,3.018108652,3.225806452,3.004291845,2.658486708,2.244897959,2.036659878,2.012072435,2.0,2.0,1.98019802,1.734104046,1.691729323,2.251407129,2.218114603,2.166064982,1.604278075,2.127659574,1.739130435,2.24137931,2.037351443,2.203389831,2.04778157,1.896551724,1.557093426,1.403508772,1.219512195,1.22591944
4.918032787,4.846526656,5.095541401,5.354330709,5.625,5.426356589,5.206738132,5.151515152,5.263157895,4.67571644,4.654654655,4.347826087,4.328358209,4.431314623,4.39238653,4.74137931,4.871060172,4.929577465,5.027932961,4.986149584,5.23415978,5.593451569,5.722070845,5.898123324,6.133333333,5.968169761,5.797101449,5.519053876,5.373525557,5.598958333,5.555555556,5.45212766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.96969697,6.184012066,6.676557864,7.478005865,7.445255474,6.222865412,6.060606061,5.857142857,6.382978723,6.779661017,6.056338028,6.153846154,5.95567867,5.777166437,5.737704918,6.216216216,6.961178046,7.53968254,7.843137255,7.282184655,8.160621762,8.439897698,8.269720102,9.090909091,8.793969849,8.395989975,9.090909091,9.16976456,7.768187423,7.936507937,7.843137255,7.787391842
8.529411765,8.456973294,7.634730539,6.980273141,7.012195122,6.828528073,7.313432836,7.270029674,6.342182891,6.423357664,5.772005772,5.571428571,5.66572238,5.462184874,5.357142857,4.723346829,4.993429698,5.161290323,5.867346939,5.612244898,5.641025641,5.662805663,5.821474774,5.461638492,5.447470817,6.080206986,5.943152455,5.648267009,5.491698595,5.710659898,5.633802817,5.628272251
20.53072626,20.86230876,28.65013774,25.62091503,28.31168831,26.80412371,24.71190781,25.47770701,27.20403023,33.75314861,30.11292346,28.48258706,32.23039216,40.60606061,34.21686747,34.77218225,37.2175981,38.08962264,35.12252042,28.65429234,26.95449242,23.22880372,21.27906977,18.81533101,19.30635838,19.40298507,22.12086659,22.77339346,20.1793722,21.51616499,20.91722595,20.98214286
,,,16.51131824,17.06036745,17.53246753,18.03069054,17.91613723,17.17171717,16.20603015,17.57425743,17.84841076,17.93939394,18.41155235,19.37799043,20.26066351,19.95305164,20.13969732,19.58285052,18.26589595,18.27586207,18.46330275,17.6201373,16.91259932,17.02367531,17.17171717,17.31843575,17.61426979,17.22595078,16.72240803,15.91928251,15.86051744
20.26537998,21.07784431,20.42755344,20.77464789,21.0955711,20.74159907,20.04608295,19.67963387,20.93287827,20.81447964,20.02249719,18.97321429,17.9800222,18.34254144,18.27133479,16.95842451,17.55725191,17.58957655,17.65980498,16.35969664,17.06263499,17.29323308,16.82743837,16.91648822,16.75560299,16.41791045,16.5781084,16.84322034,15.97883598,15.18987342,14.61864407,14.64968153
,,,,,5.982905983,6.285714286,5.949008499,8.732394366,7.222222222,6.925207756,7.008086253,6.084656085,6.18556701,5.555555556,4.691358025,4.807692308,4.929577465,5.069124424,6.741573034,6.768558952,7.021276596,8.368200837,9.937888199,9.631147541,9.53346856,6.653225806,7.014028056,7.312252964,7.6171875,7.647058824,7.662082515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0263789,18.37708831,17.12247325,17.53554502,18.56639248,19.08665105,21.22969838,19.79286536,23.28767123,23.36343115,22.15973003,21.89944134,22.76785714,22.30854606,23.06843267,22.50274424,23.40659341,22.39297475,21.63934426,18.70187019,18.07228916,18.46652268,17.83029001,17.7920686,16.84549356,16.02564103,16.01272534,15.99576271,16.45435244,15.96194503,15.31151003,15.29535865
3.639514731,3.602058319,3.878583474,3.833333333,3.953871499,4.567699837,4.677419355,4.944178628,4.739336493,4.6875,4.953560372,5.069124424,5.783866058,5.462822458,4.826546003,5.044510386,5.124450952,5.057803468,5.164992826,4.564907275,4.661016949,4.76858345,5.710306407,5.540166205,5.769230769,5.97826087,6.225165563,5.812417437,6.151832461,6.35538262,6.282722513,6.258148631
4.906937394,4.882154882,4.841402337,4.65890183,4.651162791,4.620462046,4.53808752,4.006410256,4.58135861,4.056162246,3.852080123,4.122137405,4.668674699,5.223880597,5.014749263,5.401459854,5.507246377,6.169296987,6.95035461,7.282913165,6.796116505,6.877579092,6.858710562,6.83994528,7.074829932,7.162162162,6.998654105,6.989247312,8.187919463,8.021390374,7.744565217,7.785234899
4.301075269,4.141104294,4.407294833,4.531722054,4.197901049,4.76900149,4.747774481,4.41826215,4.824561404,3.953147877,3.930131004,4.473304473,4.871060172,4.836415363,5.070422535,5.174825175,5.138888889,5.532503458,5.761316872,6.019151847,6.114130435,6.191117093,5.459387483,6.490066225,6.710526316,6.013071895,5.249343832,5.511811024,5.249343832,5.131578947,4.924760602,4.864864865
2.972027972,3.114186851,3.247863248,3.384094755,3.344481605,3.47107438,3.588907015,3.715670436,3.365384615,3.33863275,3.317535545,3.296703297,4.381846635,4.552590267,4.0625,3.888024883,4.018547141,4.122137405,4.374057315,4.341317365,4.592592593,4.41826215,4.941860465,4.755043228,4.864091559,4.957507082,5.189340813,5.270457698,5.349794239,5.442176871,5.313351499,5.335157319
,,,,,,,,,,,,3.051643192,3.203661327,3.146067416,2.89532294,2.649006623,2.625820569,2.232142857,2.407002188,2.375809935,2.079002079,2.057613169,2.277432712,1.992031873,2.070393375,2.049180328,2.066115702,1.622718053,1.818181818,1.821862348,1.829268293
